연번,도로명주소,구분,세부위치,박스수량,관리자,관리부서,관리자연락처,데이터기준일자,
28.0,서울특별시 마포구 아현동 마포대로7길22,공동주택,공덕 삼성래미안@ 3차 ( 3개: 301, 303, 308),3.0,김종권,자원순환과,02-3153-9216,45064.0,
29.0,서울특별시 마포구 아현동 마포대로11길50,공동주택,공덕 삼성래미안@ 4차 ( 3개: 404, 406, 411),3.0,김종권,자원순환과,02-3153-9216,45064.0,
30.0,서울특별시 마포구 아현동 마포대로173-15,공동주택,공덕 삼성래미안@ 5차 (9개:각각 1~9 동앞),9.0,김종권,자원순환과,02-3153-9216,45064.0,
31.0,서울특별시 마포구 아현동 마포대로11길84,공동주택,마포현대@ (001동옆),1.0,김종권,자원순환과,02-3153-9216,45064.0,
32.0,서울특별시 마포구 아현동 마포대로11길73,공동주택,공덕현대@ (경비실옆),1.0,김종권,자원순환과,02-3153-9216,45064.0,
33.0,서울특별시 마포구 아현동 마포대로115-8,공동주택,삼성임대@ (106동),1.0,김종권,자원순환과,02-3153-9216,45064.0,
34.0,서울특별시 마포구 아현동 마포대로115-8,공동주택,공덕삼성래미안@ 1차,1.0,김종권,자원순환과,02-3153-9216,45064.0,
35.0,서울특별시 마포구 아현동 마포대로7길18,주민센터,아현동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
36.0,서울특별시 마포구 아현동 마포대로19길8,공동주택,혜성@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
37.0,서울특별시 마포구 아현동 마포대로183-16,공동주택,삼환나띠르빌@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
38.0,서울특별시 마포구 아현동 마포대로 195,공동주택,마포래미안푸르지오@,24.0,김종권,자원순환과,02-3153-9216,45064.0,
39.0,서울특별시 마포구 도화동 마포대로4길 18,주택가,복사골어린이공원 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
40.0,서울특별시 마포구 도화동 삼개로 33,공동주택,도화3지구우성아파트(7동-1 주차장, 9동-2주차장입구),2.0,김종권,자원순환과,02-3153-9216,45064.0,
41.0,서울특별시 마포구 도화동 도화길 28,공동주택,삼성아파트 106동 앞, 114동 건너편 관리사무소앞,2.0,김종권,자원순환과,02-3153-9216,45064.0,
42.0,서울특별시 마포구 도화동 도화길 37,주민센터,도화동주민센터 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
43.0,서울특별시 마포구 도화동 새창로8길 72,공동주택,현대2차아파트 207동-2 주차장(경로당 맞은편),1.0,김종권,자원순환과,02-3153-9216,45064.0,
44.0,서울특별시 마포구 도화동 새창로8길 72,공동주택,현대2차아파트(임대) 211동, 212동입구,2.0,김종권,자원순환과,02-3153-9216,45064.0,
45.0,서울특별시 마포구 도화동 새창로4길 12,주택가,경보주차장 담벽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
46.0,서울특별시 마포구 도화동 새창로6다길 18,주택가,고고타운,1.0,김종권,자원순환과,02-3153-9216,45064.0,
47.0,서울특별시 마포구 도화동 새창로 52,공동주택,도화현대아파트 1차 103동 실내주차장 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
48.0,서울특별시 마포구 도화동 새창로 52,공동주택, 도화현대아파트 1차 104동 주차장 밑 실내공간,1.0,김종권,자원순환과,02-3153-9216,45064.0,
49.0,서울특별시 마포구 도화동 새창로 52,공동주택,도화현대아파트 106동 입구 전면 실내주차장 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
50.0,서울특별시 마포구 도화동 새창로 52,공동주택,도화현대아파트 1차 107동 입구에서 좌측 2층 실내주차장 안쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
51.0,서울특별시 마포구 도화동 새창로 52,공동주택,도화현대아파트 1차 113동 입구에서 106동 가기 전 우측 아래,1.0,김종권,자원순환과,02-3153-9216,45064.0,
52.0,서울특별시 마포구 도화동 마포대로4라길 30,공동주택,쌍용황금아파트 103동 담장 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
53.0,서울특별시 마포구 도화동 마포대로4나길 50,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
54.0,서울특별시 마포구 도화동 마포대로4길 90,공동주택,보성아파트 경비실 반대 담장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
55.0,서울특별시 마포구 도화동 마포대로4다길 18,공동주택,강변한신코아빌딩 주차장안쪽(지하1층),1.0,김종권,자원순환과,02-3153-9216,45064.0,
56.0,서울특별시 마포구 도화동 마포대로4길 122,공동주택,벽산빌라 경비초소 뒤편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
57.0,서울특별시 마포구 도화동 마포대로4다길 27,주택가,마포어린이공원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
58.0,서울특별시 마포구 도화동 도화4길 41,주택가,어린이영어도서관 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
59.0,서울특별시 마포구 도화동 도화4길 41,공동주택,동원베네스트1층 주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
60.0,서울특별시 마포구 용강동 용강동 381,주택가,대흥동성당앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
61.0,서울특별시 마포구 용강동 마포대로 33,공동주택,마포 한화 오벨리스크 종량봉투처리장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
62.0,서울특별시 마포구 용강동 토정로32길 6,공동주택,대림2차아파트 입구 우측 경비실 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
63.0,서울특별시 마포구 용강동 토정로32길 11,공동주택,한강삼성아파트 견인차 보관소 앞 길,1.0,김종권,자원순환과,02-3153-9216,45064.0,
64.0,서울특별시 마포구 용강동 큰우물로 26,공동주택,용강래미안 삼성아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
65.0,서울특별시 마포구 용강동 토정로31길31,주민센터,용강동주민센터 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
66.0,서울특별시 마포구 용강동 독막로 266,공동주택,태영아파트 (4개: 102, 103, 113, 201임대),4.0,김종권,자원순환과,02-3153-9216,45064.0,
67.0,서울특별시 마포구 용강동 마포대로 53,공동주택,마포트라팰리스,1.0,김종권,자원순환과,02-3153-9216,45064.0,
68.0,서울특별시 마포구 용강동 토정로37길 46,공동주택,정우빌딩 1층 뒷편 주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
69.0,서울특별시 마포구 용강동 큰우물로 75,공동주택,성지빌딩,1.0,김종권,자원순환과,02-3153-9216,45064.0,
70.0,서울특별시 마포구 용강동 큰우물로 76,공동주택,고려빌딩,1.0,김종권,자원순환과,02-3153-9216,45064.0,
71.0,서울특별시 마포구 용강동 마포대로 73,공동주택,SK허브그린 오피스텔 지하1층 관리사무소 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
72.0,서울특별시 마포구 용강동 독막로 320,공동주택,태영데시앙빌딩 지하2층,1.0,김종권,자원순환과,02-3153-9216,45064.0,
73.0,서울특별시 마포구 용강동 독막로 324,공동주택,동서빌딩 지하1층,1.0,김종권,자원순환과,02-3153-9216,45064.0,
74.0,서울특별시 마포구 용강동 마포대로 1길 46,주택가,고고네 건너편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
75.0,서울특별시 마포구 용강동 토정로31길 24,공동주택,e편한세상마포리버파크(9개:101~109동 각동 1개씩),9.0,김종권,자원순환과,02-3153-9216,45064.0,
76.0,서울특별시 마포구 용강동 토정로31길 23,공동주택,래미안 마포리버웰아파트(5개:101,102,104,107,109동 앞),5.0,김종권,자원순환과,02-3153-9216,45064.0,
77.0,서울특별시 마포구 용강동 대흥로4길22,주택가,방범용CCTV옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
78.0,서울특별시 마포구 대흥동 신촌로 170,공동주택, 이대푸르지오시티 주차장 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
79.0,서울특별시 마포구 대흥동 신촌로 162,공동주택,캠프21오피스텔 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
80.0,서울특별시 마포구 대흥동 신촌로26길 10,주민센터,대흥동주민센터 뒷 화단,1.0,김종권,자원순환과,02-3153-9216,45064.0,
81.0,서울특별시 마포구 대흥동 고산길 54,주택가,신촌중앙교회 맞은편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
82.0,서울특별시 마포구 대흥동 고산2길 34-67,주택가,고래그림 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
83.0,서울특별시 마포구 대흥동 고산2길 50 ,주택가,노고산체육공원 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
84.0,서울특별시 마포구 대흥동 백범로4길 21,주택가, 알파게스트하우스 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
85.0,서울특별시 마포구 대흥동 백범로 82,공동주택,동양엔파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
86.0,서울특별시 마포구 대흥동 백범로 18,주택가,미화빌딩 주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
87.0,서울특별시 마포구 대흥동 백범로10길 22,주택가,디스커버리 주차장 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
88.0,서울특별시 마포구 대흥동 서강대길 40,공동주택,마포자이2차아파트 101동,102동,104동,106동 분리수거장,4.0,김종권,자원순환과,02-3153-9216,45064.0,
89.0,서울특별시 마포구 대흥동 대흥로110,주택가,우정오피스 옆(용강초교 담장),1.0,김종권,자원순환과,02-3153-9216,45064.0,
90.0,서울특별시 마포구 대흥동 백범로17길 7,주택가,용강초교 정문옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
91.0,서울특별시 마포구 대흥동 대흥로 145,주택가,마을공원 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
92.0,서울특별시 마포구 대흥동 고산18길 13,주택가,양원주부학교맞은편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
93.0,서울특별시 마포구 대흥동 신촌로26길10,주택가,우리마포복지관 주차장 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
94.0,서울특별시 마포구 염리동 독막로 295,공동주택,삼부골든타워,1.0,김종권,자원순환과,02-3153-9216,45064.0,
95.0,서울특별시 마포구 염리동 독막로289,공동주택,중앙하이츠@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
96.0,서울특별시 마포구 염리동 숭문길106,공동주택,상록@,2.0,김종권,자원순환과,02-3153-9216,45064.0,
97.0,서울특별시 마포구 염리동 숭문길14,주민센터,염리동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
98.0,서울특별시 마포구 염리동 백범로25길 63,공동주택,삼성@ (105동사이),1.0,김종권,자원순환과,02-3153-9216,45064.0,
99.0,서울특별시 마포구 염리동 백범로25길 83,공동주택,삼성임대@ (201동),1.0,김종권,자원순환과,02-3153-9216,45064.0,
100.0,서울특별시 마포구 염리동 숭문길 98,공동주택,마포자이3차@(101,102,103,104,105,106,107,108,110,111동 앞) ,10.0,김종권,자원순환과,02-3153-9216,45064.0,
101.0,서울특별시 마포구 신수동 독막로 192,주민센터,신수동주민센터 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
102.0,서울특별시 마포구 신수동 독막로28길 7,공동주택,성원아파트 102동 담벼락 2개, 102동 출입구 1개,3.0,김종권,자원순환과,02-3153-9216,45064.0,
103.0,서울특별시 마포구 신수동 신수로 102,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
104.0,서울특별시 마포구 신수동 신수로 107,공동주택,신촌삼익아파트 내 관리사무소 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
105.0,서울특별시 마포구 신수동 대흥로9안길21,주택가,서울슈퍼,1.0,김종권,자원순환과,02-3153-9216,45064.0,
106.0,서울특별시 마포구 신수동 신수로3길3-13,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
107.0,서울특별시 마포구 신수동 독막로29길 30,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
108.0,서울특별시 마포구 신수동 신수로 25-12,주택가,맞은편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
109.0,서울특별시 마포구 신수동 독막로28길 46,주택가,하늘가족교회 앞 담벼락,1.0,김종권,자원순환과,02-3153-9216,45064.0,
110.0,서울특별시 마포구 신수동 독막로24길25,주택가,근상프리즘4동앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
111.0,서울특별시 마포구 서강동 독막로18길 5,공동주택,두산위브아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
112.0,서울특별시 마포구 서강동 와우산로 13,주택가,앞 대로변,1.0,김종권,자원순환과,02-3153-9216,45064.0,
113.0,서울특별시 마포구 서강동 토정로 136-11,공동주택,강변신구아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
114.0,서울특별시 마포구 서강동 독막로 100,공동주택,새마을금고 건물 주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
115.0,서울특별시 마포구 서강동 토정로 158,공동주택,밤섬자이아파트,6.0,김종권,자원순환과,02-3153-9216,45064.0,
116.0,서울특별시 마포구 서강동 토정로 167,공동주택,해모로아파트,2.0,김종권,자원순환과,02-3153-9216,45064.0,
117.0,서울특별시 마포구 서강동 창전로45 ,공동주택,한화오벨리스크 101동,1.0,김종권,자원순환과,02-3153-9216,45064.0,
118.0,서울특별시 마포구 서강동 창전로 63,공동주택,쌍용스윗닷홈아파트 경비실 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
119.0,서울특별시 마포구 서강동 서강로 68,주택가,마포노인복지관앞 도로변,1.0,김종권,자원순환과,02-3153-9216,45064.0,
120.0,서울특별시 마포구 서강동 서강로 83,공동주택,창전홈타운아파트,2.0,김종권,자원순환과,02-3153-9216,45064.0,
121.0,서울특별시 마포구 서강동 와우산로30길 54,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
122.0,서울특별시 마포구 서강동 와우산로30길 135,주택가,중앙하이츠 마을버스 종점,1.0,김종권,자원순환과,02-3153-9216,45064.0,
123.0,서울특별시 마포구 서강동 서강로9길 45,공동주택,태영아파트,3.0,김종권,자원순환과,02-3153-9216,45064.0,
124.0,서울특별시 마포구 서강동 서강로9길 19,공동주택,신촌금호아파트,2.0,김종권,자원순환과,02-3153-9216,45064.0,
125.0,서울특별시 마포구 서강동 서강로 97,주택가,삼성아파트 상가 옹벽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
126.0,서울특별시 마포구 서강동 서강로 95,공동주택, 창전삼성아파트 ,3.0,김종권,자원순환과,02-3153-9216,45064.0,
127.0,서울특별시 마포구 서강동 독막로 145,공동주택,쌍용예가아파트 104동 지하주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
128.0,서울특별시 마포구 서강동 와우산로 150-2,주택가,와우산입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
129.0,서울특별시 마포구 서강동 독막로20나길 21,공동주택,밤섬리베뉴 1단지,5.0,김종권,자원순환과,02-3153-9216,45064.0,
130.0,서울특별시 마포구 서강동 독막로107,주택가,마을버스정류장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
131.0,서울특별시 마포구 서강동 독막로 20나길 22,공동주택,밤섬리베뉴 2단지,6.0,김종권,자원순환과,02-3153-9216,45064.0,
132.0,서울특별시 마포구 서강동 토정로 93,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
133.0,서울특별시 마포구 서강동 서강로 36,공동주택,문화아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
134.0,서울특별시 마포구 서강동 독막로 145,공동주택,서강쌍용예가 114동 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
135.0,서울특별시 마포구 서강동 독막로165,주택가,광흥창역2번출구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
136.0,서울특별시 마포구 서교동 신촌로6길 5,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
137.0,서울특별시 마포구 서교동 월드컵로 74,주택가,망원역 1번 출구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
138.0,서울특별시 마포구 서교동 월드컵북로5나길 18,공동주택,대우미래사랑아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
139.0,서울특별시 마포구 서교동 월드컵로10길 56,주택가,도서출판 길벗 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
140.0,서울특별시 마포구 서교동 동교로 120,주택가,서교가든,1.0,김종권,자원순환과,02-3153-9216,45064.0,
141.0,서울특별시 마포구 서교동 홍익로5길65,주택가,담장앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
142.0,서울특별시 마포구 서교동 양화로11길 21,주택가,서교 어린이공원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
143.0,서울특별시 마포구 서교동 홍익로 10,공동주택,서교대우푸르지오 관리실,1.0,김종권,자원순환과,02-3153-9216,45064.0,
144.0,서울특별시 마포구 서교동 홍익로 10,공동주택,서교대우푸르지오 지하상가,1.0,김종권,자원순환과,02-3153-9216,45064.0,
145.0,서울특별시 마포구 서교동 양화로 156,주택가,LG팰리스B/D 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
146.0,서울특별시 마포구 서교동 와우산로33길 26-7,공동주택,대아아파트 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
147.0,서울특별시 마포구 서교동 서강로119,주택가,옆이면도로,1.0,김종권,자원순환과,02-3153-9216,45064.0,
148.0,서울특별시 마포구 서교동 홍익로10,주택가, 서교푸르지오후면담장앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
149.0,서울특별시 마포구 서교동 월드컵북로2길 65,주택가, KT신촌지사(교동집 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
150.0,서울특별시 마포구 서교동 월드컵북로4길 54,공동주택,기린동산빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
151.0,서울특별시 마포구 서교동 동교로 158,주택가,서교동연탄집앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
152.0,서울특별시 마포구 합정동 성지1길 32-13,주택가,성산중학교 후문 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
153.0,서울특별시 마포구 합정동 토정로4길 27,주택가,당인리발전소길,1.0,김종권,자원순환과,02-3153-9216,45064.0,
154.0,서울특별시 마포구 합정동 토정로2길 27,주택가,국제 가톨릭 형제회 앞 공원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
155.0,서울특별시 마포구 합정동 토정로2길 6-12,공동주택,동원한강 파크빌 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
156.0,서울특별시 마포구 합정동 독막로8길 32,주택가,동삼주택 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
157.0,서울특별시 마포구 합정동 토정로5길 9,공동주택,일신건영 휴먼빌 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
158.0,서울특별시 마포구 합정동 어울마당로11,공동주택,장미 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
159.0,서울특별시 마포구 합정동 토정로67,공동주택,두영이지안 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
160.0,서울특별시 마포구 합정동 희우정로 41,주택가,백운아트 빌라 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
161.0,서울특별시 마포구 합정동 동교로8길 58,주택가,우리마포시니어클럽옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
162.0,서울특별시 마포구 합정동 희우정로15,주택가,한국 프라우드 아파트 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
163.0,서울특별시 마포구 합정동 양화로26,공동주택,엠파이어리버 B/D 지하2층,1.0,김종권,자원순환과,02-3153-9216,45064.0,
164.0,서울특별시 마포구 합정동 양화로3길 94,학교,성산 초등학교 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
165.0,서울특별시 마포구 합정동 양화진길5,주택가,합정아파트앞,1.0,김종권,자원순환과,02-3153-9217,45064.0,
166.0,서울특별시 마포구 합정동 동교로16-18 ,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
167.0,서울특별시 마포구 합정동 월드컵북로4길54,주택가,기린동산빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
168.0,서울특별시 마포구 합정동 독막로4길 17,주택가,성산중학교 담장 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
169.0,서울특별시 마포구 합정동 성지1길10-8,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
170.0,서울특별시 마포구 망원1동 포은로6길10,주민센터,망원1동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
171.0,서울특별시 마포구 망원1동 포은로8길8,공동주택,대상4차 아파트 주차장 안쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
172.0,서울특별시 마포구 망원1동 망원로88,공동주택,삼성화원아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
173.0,서울특별시 마포구 망원1동 월드컵로15길53,주택가,한마음공원 민방위급수시설 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
174.0,서울특별시 마포구 망원1동 월드컵로11길35,공동주택,함성월드아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
175.0,서울특별시 마포구 망원1동 동교로75,주택가,조명가게앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
176.0,서울특별시 마포구 망원1동 망원로2길103,공동주택,대림1차아파트 지하1층 주차장 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
177.0,서울특별시 마포구 망원1동 희우정로20길53,주택가,현대타운 9동 코너 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
178.0,서울특별시 마포구 망원1동 망원로4길38,주택가,옹달샘공원앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
179.0,서울특별시 마포구 망원1동 망원로4길8,공동주택,성원2차아파트 놀이터 안쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
180.0,서울특별시 마포구 망원1동 동교로3길125,공동주택,현진에버빌아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
181.0,서울특별시 마포구 망원1동 동교로3길115,공동주택,대주2차피오레아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
182.0,서울특별시 마포구 망원1동 동교로3길79,공동주택, 강변타운 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
183.0,서울특별시 마포구 망원1동 동교로3길67,공동주택,대주1차피오레 아파트 경비실 뒤쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
184.0,서울특별시 마포구 망원1동 동교로1길48,공동주택,현대리버빌아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
185.0,서울특별시 마포구 망원2동 망원로11길35,공동주택,함성월드빌3차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
186.0,서울특별시 마포구 망원2동 망원로11길38,공동주택,미원1차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
187.0,서울특별시 마포구 망원2동 망원로11길73,공동주택,함성월드빌1차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
188.0,서울특별시 마포구 망원2동 방울내로5길49,공동주택,탑건진선미@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
189.0,서울특별시 마포구 망원2동 방울내로11길43,공동주택,마젤란@  ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
190.0,서울특별시 마포구 망원2동 방울내로9안길57,공동주택,동원 데자뷰@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
191.0,서울특별시 마포구 망원2동 방울내로43,공동주택,신부4차파스카@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
192.0,서울특별시 마포구 망원2동 방울내로36,공동주택,두영이지안@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
193.0,서울특별시 마포구 망원2동 방울내로31,공동주택,휴먼빌@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
194.0,서울특별시 마포구 망원2동 월드컵로31길89,공동주택,함성드림빌@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
